SeqNum,PlateBoundIdentifer,PlateBoundContinuity,StartLong,StartLat,FinalLong,FinalLat,StepLength(km),AzimuthCenter,VelocityLeft,VelocityAzimuth,VelocityDivergent,VelocityRightLateral,Elevation,SeafloorAge,StepClass,StepContinuity,Orogen,geometry
1408,TI-AU,True,122.627,-11.188,123.217,-10.995,67.9,72,23.8,206,-17.0,-16.7,-494,220,CCB,True,False,"LINESTRING (122.627 -11.188, 123.217 -10.995)"
1409,TI-AU,True,123.217,-10.995,123.96,-10.708,87.2,69,22.3,210,-13.8,-17.5,-1772,222,CCB,True,False,"LINESTRING (123.217 -10.995, 123.96 -10.708)"
1410,TI-AU,True,123.96,-10.708,124.734,-10.39,91.7,67,20.7,216,-10.7,-17.7,-1790,240,CCB,True,False,"LINESTRING (123.96 -10.708, 124.734 -10.39)"
1411,TI-AU,True,124.734,-10.39,125.159,-10.159,53.1,61,19.8,222,-6.6,-18.6,-2426,230,OTF,False,False,"LINESTRING (124.734 -10.39, 125.159 -10.159)"
1412,TI-AU,True,125.159,-10.159,125.482,-9.984,40.4,61,19.3,225,-5.2,-18.6,-2480,254,OTF,True,False,"LINESTRING (125.159 -10.159, 125.482 -9.984)"
1413,TI-AU,True,125.482,-9.984,125.869,-9.784,47.9,62,19.0,229,-4.3,-18.5,-2186,234,CTF,False,False,"LINESTRING (125.482 -9.984, 125.869 -9.784)"
1414,TI-AU,True,125.869,-9.784,126.333,-9.596,55.0,68,18.6,234,-4.5,-18.1,-2157,223,CTF,True,False,"LINESTRING (125.869 -9.784, 126.333 -9.596)"
1415,TI-AU,True,126.333,-9.596,126.853,-9.39,61.5,68,18.3,239,-2.9,-18.0,-2437,260,OTF,False,False,"LINESTRING (126.333 -9.596, 126.853 -9.39)"
1416,TI-AU,True,126.853,-9.39,127.43,-9.221,66.0,73,18.0,245,-2.6,-17.8,-2374,257,OTF,True,False,"LINESTRING (126.853 -9.39, 127.43 -9.221)"
1417,TI-AU,True,127.43,-9.221,127.9,-9.133,52.5,79,17.7,251,-2.7,-17.5,-2956,260,OTF,True,False,"LINESTRING (127.43 -9.221, 127.9 -9.133)"
1418,TI-AU,True,127.9,-9.133,128.376,-9.095,52.4,85,17.5,256,-3.0,-17.2,-2841,254,OTF,True,False,"LINESTRING (127.9 -9.133, 128.376 -9.095)"
1419,TI-AU,True,128.376,-9.095,129.106,-9.02,80.6,84,17.3,262,-0.6,-17.3,-2309,236,CTF,False,False,"LINESTRING (128.376 -9.095, 129.106 -9.02)"
1420,TI-AU,True,129.106,-9.02,129.861,-8.926,83.6,83,17.4,270,2.3,-17.2,-1981,230,CTF,True,False,"LINESTRING (129.106 -9.02, 129.861 -8.926)"
1421,TI-AU,True,129.861,-8.926,130.54,-8.726,77.9,73,18.1,278,7.5,-16.4,-1492,220,CRB,False,False,"LINESTRING (129.861 -8.926, 130.54 -8.726)"
1422,TI-AU,True,130.54,-8.726,130.933,-8.562,46.9,67,19.0,283,11.0,-15.4,-1446,234,CRB,True,False,"LINESTRING (130.54 -8.726, 130.933 -8.562)"
1423,TI-AU,True,130.933,-8.562,131.415,-8.267,62.3,58,20.1,286,14.9,-13.4,-1452,228,CRB,True,False,"LINESTRING (130.933 -8.562, 131.415 -8.267)"
1424,TI-AU,False,131.415,-8.267,131.867,-7.661,83.8,36,22.0,289,21.0,-6.6,-1162,249,CRB,False,False,"LINESTRING (131.415 -8.267, 131.867 -7.661)"
1425,TI-AU,True,131.867,-7.661,132.431,-6.989,97.2,40,24.6,291,23.3,-7.9,-908,260,CRB,True,False,"LINESTRING (131.867 -7.661, 132.431 -6.989)"
1426,TI-AU,True,132.431,-6.989,132.689,-6.681,44.6,40,26.6,292,25.4,-7.9,-1426,251,CRB,True,False,"LINESTRING (132.431 -6.989, 132.689 -6.681)"
1577,WL-MO,False,138.972,-1.607,139.205,-2.093,59.8,154,29.9,214,-25.7,15.3,-885,220,CCB,False,False,"LINESTRING (138.972 -1.607, 139.205 -2.093)"
1578,WL-MO,True,139.205,-2.093,139.439,-2.578,59.9,154,28.8,212,-24.4,15.2,75,220,CCB,True,False,"LINESTRING (139.205 -2.093, 139.439 -2.578)"
1579,WL-MO,True,139.439,-2.578,139.809,-3.178,78.4,148,27.5,211,-24.4,12.7,358,220,CCB,True,False,"LINESTRING (139.439 -2.578, 139.809 -3.178)"
1580,WL-MO,True,139.809,-3.178,140.07,-3.645,59.4,151,26.2,209,-22.4,13.7,234,220,CCB,True,False,"LINESTRING (139.809 -3.178, 140.07 -3.645)"
1581,WL-MO,True,140.07,-3.645,140.328,-4.045,52.9,147,25.2,208,-22.0,12.3,399,220,CCB,True,False,"LINESTRING (140.07 -3.645, 140.328 -4.045)"
1582,WL-MO,True,140.328,-4.045,140.566,-4.586,65.7,156,24.2,206,-18.5,15.6,936,220,CCB,True,False,"LINESTRING (140.328 -4.045, 140.566 -4.586)"
1583,WL-MO,True,140.566,-4.586,140.798,-5.11,63.7,156,23.2,204,-17.2,15.5,2358,239,CCB,True,False,"LINESTRING (140.566 -4.586, 140.798 -5.11)"
1584,WL-AU,False,140.798,-5.11,140.847,-5.145,6.7,126,25.7,233,-24.6,-7.5,1089,260,CCB,False,False,"LINESTRING (140.798 -5.11, 140.847 -5.145)"
1585,WL-AU,True,140.847,-5.145,141.483,-5.727,95.7,133,24.1,234,-23.7,-4.6,991,260,CCB,True,False,"LINESTRING (140.847 -5.145, 141.483 -5.727)"
1586,WL-AU,True,141.483,-5.727,142.231,-5.986,87.6,109,21.5,236,-17.1,-13.0,561,260,CCB,True,False,"LINESTRING (141.483 -5.727, 142.231 -5.986)"
1587,WL-AU,True,142.231,-5.986,142.956,-6.295,87.2,113,19.2,241,-15.1,-11.9,1452,260,CCB,True,False,"LINESTRING (142.231 -5.986, 142.956 -6.295)"
1588,WL-AU,True,142.956,-6.295,143.569,-6.558,73.8,113,17.2,246,-12.6,-11.8,994,260,CCB,True,False,"LINESTRING (142.956 -6.295, 143.569 -6.558)"
1589,WL-AU,True,143.569,-6.558,144.136,-6.813,68.7,114,15.6,252,-10.5,-11.6,1448,260,CCB,True,False,"LINESTRING (143.569 -6.558, 144.136 -6.813)"
1590,WL-AU,True,144.136,-6.813,144.74,-7.023,70.7,109,14.3,259,-7.2,-12.3,791,260,CCB,True,False,"LINESTRING (144.136 -6.813, 144.74 -7.023)"
1591,WL-AU,True,144.74,-7.023,145.249,-7.374,68.3,125,13.0,267,-8.0,-10.3,131,260,CCB,True,False,"LINESTRING (144.74 -7.023, 145.249 -7.374)"
1592,WL-AU,True,145.249,-7.374,145.666,-7.661,56.0,125,11.9,274,-6.0,-10.3,185,260,CCB,True,False,"LINESTRING (145.249 -7.374, 145.666 -7.661)"
1593,WL-AU,True,145.666,-7.661,146.398,-8.103,94.4,121,11.0,286,-3.0,-10.5,77,220,CTF,False,False,"LINESTRING (145.666 -7.661, 146.398 -8.103)"
1594,WL-AU,True,146.398,-8.103,146.918,-8.41,66.7,121,10.6,299,-0.3,-10.6,1699,220,CTF,True,False,"LINESTRING (146.398 -8.103, 146.918 -8.41)"
1595,WL-AU,True,146.918,-8.41,146.954,-8.598,21.3,169,10.3,306,-7.0,-7.6,1837,220,CCB,False,False,"LINESTRING (146.918 -8.41, 146.954 -8.598)"
1596,SB/SS,False,148.587,-7.395,149.314,-7.032,89.7,63,70.8,194,-53.3,-46.6,-5834,220,SUB,False,False,"LINESTRING (148.587 -7.395, 149.314 -7.032)"
1597,SB/SS,True,149.314,-7.032,149.86,-6.939,61.1,80,81.5,189,-77.0,-26.7,-6078,220,SUB,True,False,"LINESTRING (149.314 -7.032, 149.86 -6.939)"
1598,SB/SS,True,149.86,-6.939,150.146,-6.881,32.2,78,89.0,188,-84.1,-29.2,-5970,220,SUB,True,False,"LINESTRING (149.86 -6.939, 150.146 -6.881)"
1599,SB/SS,True,150.146,-6.881,150.663,-6.694,60.8,70,96.2,186,-86.6,-41.8,-6016,220,SUB,True,False,"LINESTRING (150.146 -6.881, 150.663 -6.694)"
1600,SB/SS,True,150.663,-6.694,151.148,-6.443,60.4,62,105.2,183,-90.8,-53.2,-5576,220,SUB,True,False,"LINESTRING (150.663 -6.694, 151.148 -6.443)"
